Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187.9,239850720.0,2.0,135.0,9.0,148269610.0,,,,265917250.0,,,,,,,,420235997.0,"885,123",3224599.0,854584.0,,0.0,0,-0.21467404858215192,-0.8095242561982338
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,1384.0,2.0,801.0,,222076.0,"5,430","5,013,500","605,320,683",8811416708.0,,,,,,,,12735768.5,,3224599.0,854584.0,,0.0,0,-1.5065215217372254,-0.6117504165394907
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,69729033.0,2483.0,21046278.0,81.0,111310770.0,"1,724,693","56,600","61,038,623",393973528.0,"32,059,104",40.0,709,13,7.0,"544,322",14.0,45515.0,100,255951.0,63283.0,,0.0,0,-1.2468599613876836,-0.6428646904989962
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,1811990630.0,173358.0,67603671.0,79.0,1516863120.0,"8,870,768","4,506,600","549,886,060",6470937272.0,"934,894,575",124.0,"77,120",327,44.0,"14,871,714",63.0,111324744.0,"39,123",3224599.0,3393920.0,,1.0,1,3.3321160372466636,0.5353916332901523
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,199929812.0,4.0,98.0,,148269610.0,,,,265917250.0,,1.0,,,,,,390345308.0,"399,793",3224599.0,854584.0,,1.0,0,-0.31034546680338865,0.725009428254634
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,584427088.0,182994.0,19203258.0,68.0,1141904909.0,"8,766,235","6,129,450","856,216,952",18216656774.0,"2,952,879,912",138.0,"191,634",759,53.0,"3,481,756",45.0,98290873.0,"46,039",14668216.0,22563407.0,,0.0,1,2.66961288200684,-1.0152213101978207
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,179.6,466887055.0,53842.0,103935623.0,84.0,27688666.0,"449,112",,,265917250.0,"33,817,299",42.0,"53,333",,11.0,"199,915",29.0,1359484.0,"11,303",11703609.0,1982000.0,,1.0,0,0.7648682509476057,1.4362835395061546
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,1873746537.0,190202.0,99546318.0,82.0,220538045.0,"3,153,793","266,430","152,410,048",1284413960.0,"426,461,749",214.0,"655,242","5,448",73.0,"1,304,067",122.0,57350590.0,"61,270",16992932.0,4873832.0,,0.0,1,3.3787549281410016,0.20691152998111526
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,891720245.0,114560.0,97542546.0,82.0,144741616.0,"2,761,964","1,443,103","498,822,693",3998086216.0,"1,384,310,160",168.0,"275,119",68,108.0,"10,920,686",111.0,39374594.0,"19,921",5418596.0,4476509.0,,0.0,1,1.7433162659898784,-0.3055066511159945
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,46567.0,252.0,21930.0,6.0,2038459981.0,"6,076,902",,,265917250.0,,2.0,29,,,,,1456.0,,3224599.0,903.0,,0.0,0,-0.7656252163050021,-1.5646982794840216
